timestamp,campaign_id,variant,ctr,sentiment,polarity,conversions,trend_score
2025-11-15T09:37:11.746975,cmp_history_1,variant_3,0.0226,0.8496,0.8643,34,0.8269
2025-11-15T09:37:11.746998,cmp_history_7,variant_1,0.063,0.8374,0.8612,15,0.029
2025-11-15T09:37:11.747016,cmp_history_1,variant_3,0.1439,-0.2216,-0.2748,43,-0.1549
2025-11-15T09:37:11.747031,cmp_history_6,variant_2,0.098,0.1796,0.2015,44,0.0261
2025-11-15T09:37:11.747047,cmp_history_4,variant_1,0.1187,-0.3038,-0.3497,12,-0.1242
2025-11-15T09:37:11.747062,cmp_history_7,variant_3,0.0907,-0.2018,-0.199,38,0.8304
2025-11-15T09:37:11.747078,cmp_history_1,variant_3,0.1121,0.7974,0.8967,43,-0.0364
2025-11-15T09:37:11.747106,cmp_history_4,variant_3,0.036,0.291,0.215,5,0.4109
2025-11-15T09:37:11.747123,cmp_history_7,variant_1,0.0701,-0.2268,-0.1833,8,0.5025
2025-11-15T09:37:11.747138,cmp_history_3,variant_4,0.0792,0.5939,0.5055,40,0.4462
2025-11-15T09:37:11.747154,cmp_history_4,variant_5,0.1253,-0.5006,-0.5821,15,0.3635
2025-11-15T09:37:11.747169,cmp_history_3,variant_1,0.0596,0.7928,0.7524,41,-0.0513
2025-11-15T09:37:11.747184,cmp_history_6,variant_2,0.1275,0.4581,0.4912,25,0.1698
2025-11-15T09:37:11.747201,cmp_history_8,variant_4,0.0402,-0.1662,-0.2514,29,0.5886
2025-11-15T09:37:11.747215,cmp_history_9,variant_2,0.056,0.975,0.979,30,0.6989
2025-11-15T09:37:11.747230,cmp_history_5,variant_3,0.0126,-0.2677,-0.2063,1,0.3816
2025-11-15T09:37:11.747245,cmp_history_5,variant_5,0.0978,0.8993,0.9303,36,-0.1087
2025-11-15T09:37:11.747260,cmp_history_7,variant_2,0.1396,0.0373,0.0783,37,0.621
2025-11-15T09:37:11.747275,cmp_history_6,variant_5,0.1275,0.4994,0.5968,22,0.5518
2025-11-15T09:37:11.747290,cmp_history_4,variant_2,0.0589,0.887,0.846,5,0.7956
2025-11-15T09:37:11.747306,cmp_history_1,variant_1,0.0479,-0.1954,-0.2213,43,0.0288
2025-11-15T09:37:11.747320,cmp_history_5,variant_4,0.0387,0.622,0.5966,35,0.0202
2025-11-15T09:37:11.747335,cmp_history_5,variant_2,0.0549,0.6987,0.6855,3,0.2769
2025-11-15T09:37:11.747350,cmp_history_5,variant_2,0.1332,-0.4454,-0.3896,10,0.7458
2025-11-15T09:37:11.747365,cmp_history_2,variant_2,0.0853,-0.4336,-0.354,36,0.7649
2025-11-15T09:37:11.747381,cmp_history_8,variant_1,0.088,-0.6221,-0.7208,10,0.9445
2025-11-15T09:37:11.747395,cmp_history_6,variant_1,0.0644,0.6714,0.6602,17,0.8868
2025-11-15T09:37:11.747409,cmp_history_1,variant_4,0.0616,-0.3602,-0.2768,14,-0.2652
2025-11-15T09:37:11.747425,cmp_history_4,variant_2,0.0666,0.2211,0.2196,25,0.8835
2025-11-15T09:37:11.747440,cmp_history_5,variant_3,0.0949,0.6066,0.5231,22,0.9449
2025-11-15T09:37:11.747455,cmp_history_8,variant_2,0.0402,0.9424,1.0,16,0.155
2025-11-15T09:37:11.747471,cmp_history_6,variant_4,0.1253,0.4488,0.441,1,0.3203
2025-11-15T09:37:11.747487,cmp_history_3,variant_3,0.0295,0.7545,0.8337,32,-0.1708
2025-11-15T09:37:11.747505,cmp_history_2,variant_3,0.098,0.235,0.2905,40,0.1653
2025-11-15T09:37:11.747519,cmp_history_6,variant_3,0.0564,0.3295,0.2412,23,0.6836
2025-11-15T09:37:11.747533,cmp_history_2,variant_1,0.0258,-0.4956,-0.4615,17,0.9324
2025-11-15T09:37:11.747548,cmp_history_2,variant_4,0.0806,0.9046,0.8591,33,0.0017
2025-11-15T09:37:11.747563,cmp_history_9,variant_3,0.1488,0.5069,0.4158,29,0.6196
2025-11-15T09:37:11.747578,cmp_history_2,variant_3,0.1191,0.2229,0.2662,2,0.0273
2025-11-15T09:37:11.747594,cmp_history_3,variant_5,0.0791,-0.7519,-0.8156,29,-0.0278
2025-11-15T09:37:11.747609,cmp_history_6,variant_2,0.1021,-0.031,0.001,19,0.9029
2025-11-15T09:37:11.747624,cmp_history_1,variant_4,0.0935,0.9623,1.0,13,-0.1677
2025-11-15T09:37:11.747639,cmp_history_5,variant_5,0.0393,0.5476,0.4984,20,0.0868
2025-11-15T09:37:11.747654,cmp_history_7,variant_1,0.0481,0.1959,0.2875,35,0.3568
2025-11-15T09:37:11.747796,cmp_history_7,variant_4,0.1045,-0.3205,-0.3226,16,0.3597
2025-11-15T09:37:11.747816,cmp_history_4,variant_5,0.0989,-0.011,-0.0661,40,0.953
2025-11-15T09:37:11.747831,cmp_history_1,variant_3,0.05,0.1896,0.1304,2,0.8301
2025-11-15T09:37:11.747846,cmp_history_7,variant_2,0.0372,0.2225,0.2121,47,0.1095
2025-11-15T09:37:11.747862,cmp_history_4,variant_3,0.07,0.219,0.1749,48,0.1719
2025-11-15T09:37:11.747877,cmp_history_8,variant_2,0.1362,-0.04,0.0515,0,0.6542
2025-11-15T09:37:11.747892,cmp_history_8,variant_4,0.1498,-0.2778,-0.2615,9,-0.067
2025-11-15T09:37:11.747908,cmp_history_3,variant_3,0.0181,-0.093,-0.0439,48,0.3626
2025-11-15T09:37:11.747924,cmp_history_2,variant_1,0.1117,0.6029,0.5395,22,-0.215
2025-11-15T09:37:11.747938,cmp_history_5,variant_4,0.099,-0.3408,-0.2797,5,0.6443
2025-11-15T09:37:11.747951,cmp_history_1,variant_5,0.078,0.561,0.5432,45,0.3504
2025-11-15T09:37:11.747965,cmp_history_1,variant_1,0.0995,0.7087,0.7816,50,0.7669
2025-11-15T09:37:11.747979,cmp_history_2,variant_4,0.109,-0.3247,-0.3613,40,-0.1035
2025-11-15T09:37:11.747994,cmp_history_4,variant_4,0.0905,-0.4475,-0.5079,36,-0.2706
2025-11-15T09:37:11.748011,cmp_history_5,variant_3,0.1483,-0.2672,-0.2655,30,-0.1915
2025-11-15T09:37:11.748026,cmp_history_5,variant_1,0.0902,0.3869,0.398,19,0.9952
2025-11-15T09:37:11.748041,cmp_history_5,variant_4,0.009,0.9906,1.0,36,0.1612
2025-11-15T09:37:11.748057,cmp_history_9,variant_4,0.146,-0.1052,-0.2039,7,0.8164
2025-11-15T09:37:11.748072,cmp_history_2,variant_3,0.018,-0.5848,-0.5112,1,-0.0861
2025-11-15T09:37:11.748087,cmp_history_1,variant_1,0.1242,0.852,0.817,3,0.3153
2025-11-15T09:37:11.748103,cmp_history_7,variant_4,0.1358,0.7769,0.6952,15,0.0145
2025-11-15T09:37:11.748118,cmp_history_6,variant_1,0.1259,0.7991,0.8791,30,0.68
2025-11-15T09:37:11.748132,cmp_history_9,variant_1,0.0389,-0.4233,-0.5008,30,0.7868
2025-11-15T09:37:11.748147,cmp_history_7,variant_3,0.0748,-0.6377,-0.6777,41,0.2021
2025-11-15T09:37:11.748161,cmp_history_4,variant_3,0.0093,-0.5674,-0.5235,18,0.8877
2025-11-15T09:37:11.748176,cmp_history_5,variant_5,0.1473,-0.1595,-0.125,21,-0.2171
2025-11-15T09:37:11.748191,cmp_history_8,variant_1,0.0779,0.5242,0.4479,12,0.2644
2025-11-15T09:37:11.748206,cmp_history_5,variant_3,0.0579,0.5366,0.5321,7,0.8715
